Year,Month,Day,Stake1Depth,Stake2Depth
2016,12,13,25,25
2016,12,14,25,25
2016,12,15,25,25
2016,12,16,25,25
2016,12,17,25,25
2016,12,18,37.5,35
2016,12,19,30,30
2016,12,20,30,30
2016,12,21,30,27.5
2016,12,22,30,27.5
2016,12,23,35,30
2016,12,24,30,30
2016,12,25,27.5,25
2016,12,26,25,25
2016,12,27,25,20
2016,12,28,25,20
2016,12,29,25,20
2016,12,30,55,55
2016,12,31,50,50
2017,1,1,50,50
2017,1,2,45,45
2017,1,3,40.7,45
2017,1,4,45,45
2017,1,5,45,45
2017,1,6,40,40
2017,1,7,40,40
2017,1,8,40,40
2017,1,9,40,40
2017,1,10,40,40
2017,1,11,45,45
2017,1,12,45,45
2017,1,13,35,35
2017,1,14,35,35
2017,1,15,35,35
2017,1,16,35,35
2017,1,17,35,35
2017,1,18,40,40
2017,1,19,40,40
2017,1,20,40,40
2017,1,21,40,40
2017,1,22,35,35
2017,1,23,35,35
2017,1,24,35,35
2017,1,25,40,40
2017,1,26,40,40
2017,1,27,35.7,40
2017,1,28,35,35.7
2017,1,29,35,35
2017,1,30,35,35
2017,1,31,35,35
2017,2,1,40,40
2017,2,2,40,40
2017,2,3,40,40
2017,2,4,40,40
2017,2,5,35.7,40
2017,2,6,35.7,40
2017,2,8,55,55
2017,2,9,60,60
2017,2,10,65,65
2017,2,11,70,70
2017,2,12,65.7,65.7
2017,2,13,105,110
2017,2,14,100,100
2017,2,15,95,100
2017,2,16,120,125
2017,2,17,110,110
2017,2,18,105,105
2017,2,19,95,90
2017,2,20,80,80
2017,2,21,80,75
2017,2,22,75,75
2017,2,23,70,70
2017,2,24,65,65
2017,2,25,60,60
2017,2,26,,55
2017,2,27,,55
2017,2,28,,50
2017,3,1,,50
2017,3,2,,45
2017,3,3,,45
2017,3,4,,45
2017,3,5,,45
2017,3,6,,45
2017,3,7,40,45
2017,3,8,40,45
2017,3,9,40,45
2017,3,10,40,45
2017,3,11,40,45
2017,3,12,35,40
2017,3,13,35,40
2017,3,14,40,45
2017,3,15,80,85
2017,3,16,80,80
2017,3,17,80,80
2017,3,18,75,80
2017,3,19,75,75
2017,3,20,70,75
2017,3,27,65,65
2017,3,28,65,65
2017,3,29,65,65
2017,3,30,60,60
2017,3,31,60,60
2017,4,1,95,95
2017,4,2,90,90
2017,4,3,80,75
2017,4,4,80,75
2017,4,5,80,80
2017,4,6,75,75
2017,4,7,75,75
2017,4,8,70,70
2017,4,9,70,70
2017,4,10,65,65
2017,4,11,60,60
2017,4,12,50,50
2017,4,13,50,50
2017,4,14,45,45
2017,4,15,45,45
2017,4,16,40,35
2017,4,17,30,30
2017,4,18,25,25
2017,4,19,20,25
2017,4,20,15,20
2017,4,21,10,10
2017,4,22,10,10
2017,4,23,10,10
2017,4,24,10,5
2017,4,25,5,5
2017,4,26,5,5
2017,4,27,5,5
2017,4,28,5,5
2017,4,29,5,5
2017,4,30,5,5
2017,5,1,5,5
2017,5,2,5,5
2017,5,3,5,5
2017,5,4,5,5
2017,5,5,5,5
2017,5,6,5,5
2017,5,7,5,5
2017,5,8,5,5
2017,5,9,5,5
2017,5,10,5,5
2017,5,11,5,5
2017,5,12,5,5
2017,5,13,5,5
2017,5,14,5,5
2017,5,15,5,5
2017,11,1,5,5
2017,11,2,5,5
2017,11,3,5,5
2017,11,4,5,5
2017,11,5,5,5
2017,11,6,5,5
2017,11,7,5,5
2017,11,8,5,5
2017,11,9,5,5
2017,11,10,5,5
2017,11,11,5,5
2017,11,12,5,5
2017,11,13,5,5
2017,11,14,5,5
2017,11,15,5,5
2017,11,16,5,5
2017,11,17,5.7,10
2017,11,18,5.7,10
2017,11,19,5,5
2017,11,20,5,5
2017,11,21,5,5
2017,11,22,5,5
2017,11,23,5,5
2017,11,24,5,5
2017,11,25,5,5
2017,11,26,5,5
2017,11,27,5,5
2017,11,28,5,5
2017,11,29,5,5
2017,12,5,5,5
2017,12,6,5,5
2017,12,7,5,5
2017,12,8,5,5
2017,12,9,5,5
2017,12,10,15,15
2017,12,11,10,10
2017,12,12,10,10
2017,12,13,35,40
2017,12,14,30,35
2017,12,15,30,35
2017,12,16,25,30
2017,12,17,25,30
2017,12,18,25,30
2017,12,19,25,30
2017,12,20,15,30
2017,12,21,15,25
2017,12,22,15,25
2017,12,23,35,45
2017,12,24,35,40
2017,12,25,40,45
2017,12,26,55,70
2017,12,27,50,65
2017,12,28,50,65
2017,12,29,45,60
2017,12,30,45,60
2017,12,31,40,55
2018,1,1,40,55
2018,1,2,40,55
2018,1,3,40,50
2018,1,4,40,50
2018,1,5,55,70
2018,1,6,55,70
2018,1,7,55,70
2018,1,8,50,65
2018,1,9,50,65
2018,1,10,50,60
2018,1,11,45,55
2018,1,12,35,45
2018,1,13,5,25
2018,1,14,5,25
2018,1,15,5,25
2018,1,16,5,25
2018,1,17,10,30
