Site,Date,Snow_Depth
36,10/1/2003,0
36,10/2/2003,0
36,10/3/2003,0
36,10/4/2003,0
36,10/5/2003,0
36,10/6/2003,0
36,10/7/2003,0
36,10/8/2003,0
36,10/9/2003,0
36,10/10/2003,0
36,10/11/2003,0
36,10/12/2003,0
36,10/13/2003,0
36,10/14/2003,0
36,10/15/2003,0
36,10/16/2003,0
36,10/17/2003,0
36,10/18/2003,0
36,10/19/2003,0
36,10/20/2003,0
36,10/21/2003,0
36,10/22/2003,0
36,10/23/2003,0
36,10/24/2003,0.001
36,10/25/2003,0
36,10/26/2003,0
36,10/27/2003,0
36,10/28/2003,0
36,10/29/2003,0
36,10/30/2003,0
36,10/31/2003,0
36,11/1/2003,0
36,11/2/2003,0
36,11/3/2003,0
36,11/4/2003,0
36,11/5/2003,0
36,11/6/2003,0
36,11/7/2003,0
36,11/8/2003,0
36,11/9/2003,0
36,11/10/2003,0
36,11/11/2003,0
36,11/12/2003,0.01
36,11/13/2003,0
36,11/14/2003,0.004
36,11/15/2003,0.001
36,11/16/2003,0
36,11/17/2003,0
36,11/18/2003,0
36,11/19/2003,0
36,11/20/2003,0
36,11/21/2003,0
36,11/22/2003,0
36,11/23/2003,0
36,11/24/2003,0
36,11/25/2003,0
36,11/26/2003,0
36,11/27/2003,0
36,11/28/2003,0
36,11/29/2003,0
36,11/30/2003,0
36,12/1/2003,0
36,12/2/2003,0
36,12/3/2003,0
36,12/4/2003,0
36,12/5/2003,0.012
36,12/6/2003,0.01
36,12/7/2003,0.031
36,12/8/2003,0.144
36,12/9/2003,0.293
36,12/10/2003,0.266
36,12/11/2003,0.247
36,12/12/2003,0.075
36,12/13/2003,0.074
36,12/14/2003,0.074
36,12/15/2003,0.188
36,12/16/2003,0.288
36,12/17/2003,0.322
36,12/18/2003,0.109
36,12/19/2003,0.112
36,12/20/2003,0.143
36,12/21/2003,0.142
36,12/22/2003,0.141
36,12/23/2003,0.14
36,12/24/2003,0.13
36,12/25/2003,0.061
36,12/26/2003,0.035
36,12/27/2003,0.035
36,12/28/2003,0.034
36,12/29/2003,0.024
36,12/30/2003,0
36,12/31/2003,0
36,1/1/2004,0
36,1/2/2004,0
36,1/3/2004,0.015
36,1/4/2004,0
36,1/5/2004,0
36,1/6/2004,0
36,1/7/2004,0
36,1/8/2004,0.104
36,1/9/2004,0.096
36,1/10/2004,0.091
36,1/11/2004,0.086
36,1/12/2004,0.082
36,1/13/2004,0.079
36,1/14/2004,0.085
36,1/15/2004,0.083
36,1/16/2004,0.164
36,1/17/2004,0.16
36,1/18/2004,0.152
36,1/19/2004,0.163
36,1/20/2004,0.156
36,1/21/2004,0.15
36,1/22/2004,0.146
36,1/23/2004,0.142
36,1/24/2004,0.139
36,1/25/2004,0.137
36,1/26/2004,0.135
36,1/27/2004,0.133
36,1/28/2004,0.175
36,1/29/2004,0.169
36,1/30/2004,0.166
36,1/31/2004,0.163
36,2/1/2004,0.16
36,2/2/2004,0.157
36,2/3/2004,0.153
36,2/4/2004,0.168
36,2/5/2004,0.199
36,2/6/2004,0.195
36,2/7/2004,0.287
36,2/8/2004,0.278
36,2/9/2004,0.268
36,2/10/2004,0.321
36,2/11/2004,0.299
36,2/12/2004,0.291
36,2/13/2004,0.311
36,2/14/2004,0.3
36,2/15/2004,0.291
36,2/16/2004,0.286
36,2/17/2004,0.282
36,2/18/2004,0.318
36,2/19/2004,0.312
36,2/20/2004,0.306
36,2/21/2004,0.301
36,2/22/2004,0.328
36,2/23/2004,0.323
36,2/24/2004,0.342
36,2/26/2004,0.326
36,2/27/2004,0.321
36,2/28/2004,0.316
36,2/29/2004,0.308
36,3/1/2004,0.278
36,3/2/2004,0.247
36,3/3/2004,0.212
36,3/4/2004,0.198
36,3/5/2004,0.165
36,3/6/2004,0.164
36,3/7/2004,0.121
36,3/8/2004,0.12
36,3/9/2004,0.091
36,3/10/2004,0.092
36,3/11/2004,0.092
36,3/12/2004,0.089
36,3/13/2004,0.087
36,3/14/2004,0.085
36,3/15/2004,0.095
36,3/16/2004,0.097
36,3/17/2004,0.106
36,3/18/2004,0.127
36,3/19/2004,0.125
36,3/20/2004,0.124
36,3/21/2004,0.126
36,3/22/2004,0.124
36,3/23/2004,0.122
36,3/24/2004,0.121
36,3/25/2004,0.116
36,3/26/2004,0
36,3/27/2004,0
36,3/28/2004,0
36,3/29/2004,0
36,3/30/2004,0
36,3/31/2004,0
36,4/1/2004,0
36,4/2/2004,0
36,4/3/2004,0.002
36,4/4/2004,0
36,4/5/2004,0
36,4/6/2004,0
36,4/7/2004,0
36,4/8/2004,0
36,4/9/2004,0
36,4/10/2004,0
36,4/11/2004,0
36,4/12/2004,0
36,4/13/2004,0
36,4/14/2004,0.005
36,4/15/2004,0
36,4/16/2004,0
36,4/17/2004,0
36,4/18/2004,0
36,4/19/2004,0
36,4/20/2004,0
36,4/21/2004,0
36,4/22/2004,0
36,4/23/2004,0
36,4/24/2004,0
36,4/25/2004,0
36,4/26/2004,0.011
36,4/27/2004,0
36,4/28/2004,0
36,4/29/2004,0
36,4/30/2004,0
36,5/1/2004,0
36,5/2/2004,0
36,5/3/2004,0
36,5/4/2004,0
36,5/5/2004,0
36,5/6/2004,0
36,5/7/2004,0
36,5/8/2004,0
36,5/9/2004,0
36,5/10/2004,0
36,5/11/2004,0
36,5/12/2004,0
36,5/13/2004,0
36,5/14/2004,0
36,5/15/2004,0
36,10/1/2004,0
36,10/2/2004,0
36,10/3/2004,0
36,10/4/2004,0
36,10/5/2004,0
36,10/6/2004,0
36,10/7/2004,0
36,10/8/2004,0
36,10/9/2004,0
36,10/10/2004,0
36,10/11/2004,0
36,10/12/2004,0
36,10/13/2004,0
36,10/14/2004,0
36,10/15/2004,0
36,10/16/2004,0
36,10/17/2004,0
36,10/18/2004,0
36,10/19/2004,0
36,10/20/2004,0
36,10/21/2004,0
36,10/22/2004,0
36,10/23/2004,0
36,10/24/2004,0
36,10/25/2004,0
36,10/26/2004,0
36,10/27/2004,0
36,10/28/2004,0
36,10/29/2004,0
36,10/30/2004,0
36,10/31/2004,0
36,11/1/2004,0
36,11/2/2004,0
36,11/3/2004,0
36,11/4/2004,0
36,11/5/2004,0.003
36,11/6/2004,0
36,11/7/2004,0
36,11/8/2004,0
36,11/9/2004,0
36,11/10/2004,0
36,11/11/2004,0
36,11/12/2004,0
36,11/13/2004,0
36,11/14/2004,0
36,11/15/2004,0
36,11/16/2004,0
36,11/17/2004,0
36,11/18/2004,0
36,11/19/2004,0
36,11/20/2004,0
36,11/21/2004,0.002
36,11/22/2004,0
36,11/23/2004,0
36,11/24/2004,0
36,11/25/2004,0
36,11/26/2004,0
36,11/27/2004,0
36,11/28/2004,0
36,11/29/2004,0
